repository,url,branch,branch_hash,artifact_original_name,artifact_creation_commit,artifact_creation_date,commits_before,commits_after,total_commits
docs,https://github.com/ArcadeAI/docs.git,main,df8cfea49c3115a1529f736f50dfa2564a7ce0e8c67320387fe68976,AGENTS.md,26a79bc65d607924a7927ba9dd2ff0d3e6fc44c5,2026-01-15 17:52:43,533,72,605
documentation,https://github.com/dragonflydb/documentation.git,main,965330ebe0a5246dccad1097d64301370a42bf049aa2b34c4f4111ff,AGENTS.md,e9548a80170f565070cd062c157d26f468d5e5bc,2026-01-05 15:37:49,559,10,569
doma,https://github.com/domaframework/doma.git,master,102a3bfd9b5d3bef2b0b7742055b0052b970239fb7d10f830187c7a0,CLAUDE.md,fb2c3a0016657e89db47de8b1d332cd4df95da6b,2025-06-05 21:20:38,3554,265,3819
dotfiles,https://github.com/yutkat/dotfiles.git,main,e66a9fb2993881788b2fe4301cf809247c4d7ca298f1cf946dbd9a57,CLAUDE.md,07ea709b3f29ce48f7e11a571ec9765c115660fc,2025-06-18 13:43:37,4823,149,4972
dotfiles,https://github.com/albandiguer/dotfiles.git,main,9be81950260119f6b0cc747472a2caa0edfa02890a9cf783adc81371,CLAUDE.md,895d9775f1c2a1b0bb592865ea82d63e83116189,2025-06-11 16:56:36,1002,123,1125
dotfiles,https://github.com/tsukuboshi/dotfiles.git,main,9296a968a839d55c2a6b19fe89b4b6ad8bdcd98d085bb321b7852eb2,CLAUDE.md,d736ef6b086b40440d60cd925a18b3f608a1389b,2025-08-28 13:21:29,470,119,589
dotfiles,https://github.com/ikuwow/dotfiles.git,main,3c01f5c3c20290acacc9cc8ddf626db2c8fd082742ea66f85ee4f251,CLAUDE.md,2dc67354442509cc0b9191722e6e6a4fae480710,2025-07-26 10:43:46,1550,177,1727
dotfiles,https://github.com/asmeurer/dotfiles.git,master,25e0be4fc130f12021e89874f3da8930f51c88bcf46b62b7bde8c3bb,CLAUDE.md,d436d231a506e808d20883e5eb20075b18fb776b,2025-03-09 15:11:25,1913,84,1997
dotfiles,https://github.com/edheltzel/dotfiles.git,master,69fea1cc908d3eecf1544a848f3eff2028c594afd1528ef783bbb552,CLAUDE.md,ce19cc592dc24e8c9ab22a92fb527d91db6e2687,2025-10-02 14:06:08,2948,565,3513
dotfiles,https://github.com/ithinkihaveacat/dotfiles.git,master,2c16e2010c90bb265354bbe44be22dc94ae2afea35a661c92a32bd15,AGENTS.md,eba95c12a4e2a2baa168beb4f5ef765ec11bcd0f,2025-11-09 22:45:46,1555,464,2019
dpdata,https://github.com/deepmodeling/dpdata.git,devel,6324dabb26c35dd471fe48cf0e0b758eb3ad40b5c5addb194091f508,copilot-instructions.md,ebb20ad10b63688441ea17dac0ea2259ea859b0d,2025-08-29 11:49:43,853,53,906
echo,https://github.com/labstack/echo.git,master,ae1c2ba981531d5fc1eef34c390deecb5a6fbd8b1d131e826103fc68,CLAUDE.md,a92f4209c6888c27f50c13e6c353d3de00d84370,2025-09-15 17:51:44,1773,74,1847
embrace-docs,https://github.com/embrace-io/embrace-docs.git,main,31ec77f93184ea420e0e87a989bbe6c02168e7cb7cd87521e45dcfeb,AGENTS.md,ae7a596a44f98991571218b73e5b6a17cf0946e4,2026-01-19 16:57:50,1081,25,1106
enrich,https://github.com/snowplow/enrich.git,master,82dc85a0f8ac647d0b16842ebefba222e004cfbf8cf82f9a4afc6cc3,CLAUDE.md,9335343e7bc6b50e5285e2212ddf4d3ec3821757,2025-09-03 14:51:23,2703,51,2754
etchdroid,https://github.com/etchdroid/etchdroid.git,main,81f339ed2d0f610ed05b7a7c2e4665d383f71dd5ad0747f3e16b6aa9,AGENTS.md,a5c10f557d86052060d615198d5ed42bc39554b5,2025-06-07 00:05:01,1080,44,1124
etl,https://github.com/owid/etl.git,master,c22dc0f19befbde17d8b437749031f2daf50192257396f1dd0159b5c,CLAUDE.md,398ef7ee120315f28cc0304a71780e79629c847f,2025-06-27 11:36:32,13044,2204,15248
fake-gcs-server,https://github.com/fsouza/fake-gcs-server.git,main,c783f62e09d08f415ac6554212734702fed067266650c3e0a2df97a8,CLAUDE.md,17d920a0ca216a12b5d6e6661401018dbb17e23b,2026-01-31 00:09:49,2263,38,2301
fiber,https://github.com/nervosnetwork/fiber.git,develop,19a7367c7fbaa42a365b1265ed90a0c714b2c9f2ef21a39045edb137,AGENTS.md,20ba17f96806a8ba0b3e64e95466a933b29aae85,2026-01-21 13:23:45,2910,116,3026
